,country_name,gdp_per_capita,life_expectancy,literacy_rate
120,Middle East & North Africa (IDA & IBRD countries),3015.703551,75.69195123,0.7005406952
121,Middle income,5216.947891,74.31147803,0.8301712799
122,Moldova,4547.059721,76.157,0.9914041901
123,Mongolia,4060.950518,74.142,0.9924108887
124,Montenegro,7677.152226,79.303,0.9827134705
125,Morocco,3058.691689,77.895,0.6459137726
126,Mozambique,448.5442807,63.671,0.5029513931
127,Myanmar,1467.604281,70.119,0.8626860809
128,Namibia,4179.278066,66.516,0.9143643188
129,Nepal,1155.142854,72.208,0.5972443008
130,New Caledonia,34788.52928,80.4,0.975
131,Nicaragua,1905.261152,77.982,0.8277935028
132,Niger,567.6698923,63.621,0.2664999962
133,Nigeria,2097.092473,55.619,0.5265647888
134,North Macedonia,5917.262575,77.846,0.9760762024
135,Oman,14485.38612,80.343,0.9269399261
136,Other small states,11766.97374,70.48620415,0.8292002869
137,Pacific island small states,3768.543357,72.04778482,0.8917031097
138,Pakistan,1188.859757,68.287,0.4649003983
139,Palau,14243.86469,72.1,0.9634014893
140,Panama,12509.83529,81.756,0.9535887909
141,Papua New Guinea,2757.21753,65.82,0.5790000153
142,Paraguay,5001.07276,76.396,0.9418141174
143,Peru,6126.87454,79.507,0.9201902771
144,Philippines,3298.829586,75.505,0.9685243225
145,Poland,15720.99466,81.8,0.9825198364
146,Portugal,22176.29671,83.5,0.950725174
147,Pre-demographic dividend,1332.049211,62.82695813,0.556928215
148,Puerto Rico,32290.92114,83.498,0.9239002228
149,Qatar,50124.38594,82.01,0.947115097
150,Romania,12896.08862,79.3,0.9859976959
151,Russian Federation,10126.72179,78.17,0.9973410797
152,Rwanda,797.8555207,71.132,0.6939453888
153,Samoa,4067.843459,75.464,0.9924504089
154,Sao Tome and Principe,2157.840446,72.814,0.8951573181
155,Saudi Arabia,20110.31619,76.759,0.9604924774
156,Senegal,1471.830962,69.918,0.397985611
157,Serbia,7720.510572,78.4,0.9911560822
158,Seychelles,10764.42042,78.4,0.9635019684
159,Sierra Leone,509.376594,55.495,0.3485203171
160,Singapore,59797.75218,85.7,0.96134758
161,Slovenia,25517.33067,84.2,0.9959999847
162,Small states,10770.58978,71.62353887,0.8544445801
163,Solomon Islands,2250.601164,74.866,0.69
164,Somalia,438.2551656,59.132,0.03687170029
165,South Africa,5655.867654,67.679,0.9453317261
166,South Asia,1823.712912,71.01399047,0.6555431366
167,South Asia (IDA & IBRD),1823.712912,71.01399047,0.6555431366
168,South Korea,31631.46945,86.3,0.9761865997
169,South Sudan,1119.651437,59.383,0.2886425972
170,Spain,27063.19392,86.2,0.9818704224
171,Sri Lanka,3680.673477,80.261,0.9158087158
172,St. Vincent and the Grenadines,,75.131,0.955
173,Sub-Saharan Africa,1501.152921,63.41014573,0.5941519928
174,Sub-Saharan Africa (excluding high income),1500.349997,63.40886133,0.5936135101
175,Sub-Saharan Africa (IDA & IBRD countries),1501.152921,63.41014573,0.5941519928
176,Sudan,486.4188163,67.187,0.5606322861
177,Suriname,4916.605666,75.063,0.9271205902
178,Syrian Arab Republic,1334.370593,78.103,0.736265564
179,Tajikistan,859.1379611,73.389,0.9969999695
180,Tanzania,1076.469706,67.233,0.7309382629
181,Thailand,7186.874092,80.9,0.9242855835
182,Timor-Leste,1442.730738,71.635,0.642109375
183,Togo,914.9507925,61.918,0.5505149841
184,Tonga,4624.823449,72.887,0.9947502899
185,Trinidad and Tobago,15425.63511,76.224,0.9830000305
186,Tunisia,3521.591948,78.721,0.7222377014
187,Turkey,8536.43332,80.563,0.9442404175
188,Turkmenistan,7612.03518,71.717,0.9959999847
189,Uganda,822.0276815,65.622,0.7083805847
190,Ukraine,3724.938437,76.98,0.9995819855
191,United Arab Emirates,36284.55524,79.314,0.9686031342
192,Upper middle income,9177.840437,78.73877451,0.9452037048
193,Uruguay,15438.41167,81.478,0.9903526306
194,Uzbekistan,1750.697113,73.829,0.9999994659
195,Vanuatu,2870.0893,72.154,0.8670609283
196,"Venezuela, RB",16055.64532,76.004,0.9721370697
197,Vietnam,2785.724161,79.523,0.9456565857
198,West Bank and Gaza,3239.731108,75.755,0.9620166779
199,World,10918.72283,75.05007076,0.8329759979
200,"Yemen, Rep.",758.1452416,67.826,0.35
201,Zambia,985.132436,66.891,0.8308344269
202,Zimbabwe,1214.50982,62.899,0.8828382874
